mouthOpeningValue,mouthWidth,lengthFromMouthToNose,mouthAngle,smilingProbability,cheekWidth,lengthFromCheekToEye,leftEyeOpeningValue,rightEyeOpeningValue,lengthFromEyebrowsToNose,emotionName
0.99,24.93,9.46,120.64,0.10,45.85,19.63,1.06,0.95,35.85,disappointed
0.30,28.29,8.44,127.33,1.29,46.90,17.62,0.26,0.48,35.56,disappointed
0.71,27.51,7.33,129.11,0.12,44.61,19.36,1.86,1.01,33.38,disappointed
0.25,26.37,9.78,97.63,1.70,47.25,20.95,1.22,1.19,38.44,disappointed
0.35,29.89,18.58,156.91,0.52,46.74,23.32,1.38,1.28,29.25,disappointed
0.51,27.69,15.38,120.88,0.25,47.69,21.54,1.44,0.96,34.15,disappointed
0.22,31.37,13.73,123.11,2.19,50.33,21.57,1.39,1.02,36.01,disappointed
1.08,28.03,11.57,125.99,0.52,50.76,22.39,1.26,1.17,37.31,disappointed
0.39,14.89,8.16,104.73,0.05,25.53,17.02,1.51,1.11,29.08,disappointed
0.52,25.00,11.26,127.65,0.16,42.57,19.54,0.62,0.70,32.98,disappointed
0.33,27.38,19.16,137.32,0.06,48.21,24.25,1.24,1.12,31.26,disappointed
-0.10,37.98,18.03,138.31,9.28,52.40,24.25,1.56,1.39,33.22,disappointed
0.06,29.35,25.00,128.86,0.30,47.28,28.16,1.32,1.25,32.16,disappointed
0.50,27.82,17.29,114.34,0.28,48.68,24.62,1.59,1.34,31.15,fearful
0.21,27.91,12.17,159.14,3.43,45.63,18.97,2.31,2.07,36.90,fearful
2.31,25.71,22.92,114.75,0.02,50.31,27.24,1.35,1.32,30.80,fearful
7.14,30.11,24.73,120.96,0.12,51.70,27.20,1.72,1.61,31.54,fearful
12.96,28.71,24.26,120.96,9.16,50.99,25.74,1.65,1.56,29.07,fearful
10.07,22.72,22.89,86.44,0.05,46.55,24.56,1.85,1.69,31.18,fearful
8.81,32.09,18.89,101.64,8.17,52.24,26.67,2.13,1.85,34.00,fearful
9.13,23.94,23.94,93.90,0.08,49.20,25.53,2.06,1.83,31.33,fearful
10.46,25.48,19.16,97.31,7.78,48.41,25.00,1.54,1.46,33.57,fearful
6.27,23.76,26.73,127.12,0.22,48.51,26.73,1.42,1.49,28.22,fearful
0.85,27.17,19.23,124.33,0.28,48.91,25.27,1.58,1.44,32.31,fearful
