mouthOpeningValue,mouthWidth,lengthFromMouthToNose,mouthAngle,smilingProbability,cheekWidth,lengthFromCheekToEye,leftEyeOpenProbability,rightEyeOpenProbability,emotionName
0.64,32.12,19.93,128.86,5.23,52.55,26.09,0,0,normal
0.86,32.76,21.55,129.21,0.99,54.31,26.72,0,0,normal
0.68,32.46,21.49,130.69,1.19,53.51,26.75,0,0,normal
0.46,32.88,17.81,126.81,30.20,53.42,25.00,0,0,fear
0.71,33.09,18.21,122.97,3.21,54.68,25.36,0,0,fear
1.06,33.06,15.08,115.22,29.06,53.23,22.22,0,0,fear
0.85,33.59,18.46,121.68,3.21,55.47,25.00,0,0,fear
0.17,37.88,14.02,126.88,78.44,56.82,23.86,0,0,happy
4.12,36.36,14.02,111.00,96.93,54.55,23.11,0,0,happy
0.26,36.51,14.45,126.89,38.20,55.56,23.05,0,0,happy
0.41,33.58,22.99,137.89,1.19,52.99,25.55,0,0,disappointed
0.32,32.09,21.53,138.32,1.46,52.99,24.45,0,0,disappointed
0.65,33.58,16.91,121.75,31.38,52.55,25.00,0,0,fear
0.33,31.85,19.26,128.42,1.46,51.11,24.07,0,0,disappointed
0.33,32.58,19.26,128.42,1.19,53.03,24.07,0,0,disappointed
5.20,37.30,20.24,124.17,99.18,53.97,24.60,0,0,pleasure
3.83,37.84,12.16,108.17,98.88,56.08,23.65,0,0,pleasure
0.51,34.85,20.08,126.87,2.54,53.79,26.14,0,0,normal
0.11,33.67,19.90,132.25,6.15,52.04,25.00,0,0,normal
0.97,31.07,17.48,133.94,19.89,48.54,22.82,0,0,normal
0.00,35.00,20.63,130.24,1.19,55.00,26.25,0,0,normal
3.19,34.17,16.39,111.99,99.03,55.00,24.18,0,0,fear
1.64,33.33,17.83,120.01,8.39,52.63,23.04,0,0,disappointed
0.70,35.14,18.47,127.13,32.74,53.15,25.68,0,0,disappointed
3.77,35.34,15.25,115.14,99.30,54.31,23.31,0,0,happy
2.60,35.46,17.38,116.86,96.01,55.32,24.82,0,0,fear
0.38,33.90,18.64,131.63,2.76,53.39,24.15,0,0,fear
0.37,33.90,17.92,129.08,2.22,52.54,24.17,0,0,disappointed
0.28,33.05,16.95,130.24,7.00,54.24,25.00,0,0,disappointed
0.34,30.83,18.94,128.54,3.13,50.38,25.00,0,0,normal
0.42,31.54,18.56,130.60,3.13,52.31,24.62,0,0,normal
0.42,35.61,16.29,127.82,39.62,54.55,24.62,0,0,happy
